"Time (UTCG)","Sat111 - Lat (deg)","Sat111 - Lon (deg)","Sat111 - Alt (km)"
28 Dec 2020 10:00:00.000,0.000,112.667,1248.000000
28 Dec 2020 10:01:00.000,1.993,115.008,1248.025685
28 Dec 2020 10:02:00.000,3.983,117.355,1248.102407
28 Dec 2020 10:03:00.000,5.963,119.715,1248.229165
28 Dec 2020 10:04:00.000,7.932,122.093,1248.404308
28 Dec 2020 10:05:00.000,9.883,124.496,1248.625556
28 Dec 2020 10:06:00.000,11.813,126.931,1248.890027
28 Dec 2020 10:07:00.000,13.718,129.403,1249.194278
28 Dec 2020 10:08:00.000,15.591,131.918,1249.534350
28 Dec 2020 10:09:00.000,17.429,134.484,1249.905819
28 Dec 2020 10:10:00.000,19.226,137.105,1250.303853
28 Dec 2020 10:11:00.000,20.977,139.789,1250.723280
28 Dec 2020 10:12:00.000,22.676,142.541,1251.158648
28 Dec 2020 10:13:00.000,24.317,145.366,1251.604306
28 Dec 2020 10:14:00.000,25.894,148.270,1252.054466
28 Dec 2020 10:15:00.000,27.401,151.256,1252.503289

"Time (UTCG)","Sat112 - Lat (deg)","Sat112 - Lon (deg)","Sat112 - Alt (km)"
28 Dec 2020 10:00:00.000,23.096,146.355,1251.270399
28 Dec 2020 10:01:00.000,24.722,149.199,1251.717742
28 Dec 2020 10:02:00.000,26.282,152.123,1252.168116
28 Dec 2020 10:03:00.000,27.769,155.131,1252.615680
28 Dec 2020 10:04:00.000,29.178,158.226,1253.054629
28 Dec 2020 10:05:00.000,30.501,161.410,1253.479275
28 Dec 2020 10:06:00.000,31.731,164.686,1253.884118
28 Dec 2020 10:07:00.000,32.862,168.051,1254.263915
28 Dec 2020 10:08:00.000,33.885,171.505,1254.613751
28 Dec 2020 10:09:00.000,34.794,175.043,1254.929101
28 Dec 2020 10:10:00.000,35.584,178.659,1255.205885
28 Dec 2020 10:11:00.000,36.247,-177.655,1255.440527
28 Dec 2020 10:12:00.000,36.779,-173.908,1255.629993
28 Dec 2020 10:13:00.000,37.175,-170.113,1255.771834
28 Dec 2020 10:14:00.000,37.432,-166.284,1255.864220
28 Dec 2020 10:15:00.000,37.548,-162.434,1255.905955

"Time (UTCG)","Sat113 - Lat (deg)","Sat113 - Lon (deg)","Sat113 - Alt (km)"
28 Dec 2020 10:00:00.000,36.892,-169.847,1255.670373
